,RunId,iteration,Step,schedule_type,cooperadores_iniciais,Cooperating_Agents,Maior_Score_Agentes,Menor_Score_Agentes,Diferenca_Score_Agentes
225,225,10,100,Random,1250,2456,797.0,159.08079734170568,637.9192026582944
226,226,10,100,Random,1500,0,37.214245014245016,0.0,37.214245014245016
227,227,10,100,Random,1750,0,43.09714599494369,0.0,43.09714599494369
228,228,10,100,Random,2000,0,37.410526315789475,0.0,37.410526315789475
229,229,10,100,Random,2250,0,60.42880246612629,1.6347372991749891,58.794065166951306
230,230,10,100,Random,2500,2500,800.0,800.0,0.0
231,231,10,100,Simultaneous,0,0,0.0,0.0,0.0
232,232,10,100,Simultaneous,250,0,11.133546325878592,0.0,11.133546325878592
233,233,10,100,Simultaneous,500,0,10.454092526690392,0.0,10.454092526690392
234,234,10,100,Simultaneous,750,0,10.200750938673343,0.0,10.200750938673343
235,235,10,100,Simultaneous,1000,2039,800.0,13.200756741894121,786.7992432581059
236,236,10,100,Simultaneous,1250,0,22.738317757009344,0.0,22.738317757009344
237,237,10,100,Simultaneous,1500,2112,798.0,44.54446349606235,753.4555365039377
238,238,10,100,Simultaneous,1750,2193,800.0,46.91396151958512,753.0860384804149
239,239,10,100,Simultaneous,2000,2048,800.0,62.83668797123562,737.1633120287644
240,240,10,100,Simultaneous,2250,1896,800.0,38.543650557526604,761.4563494424734
241,241,10,100,Simultaneous,2500,2500,800.0,800.0,0.0
242,242,11,100,Random,0,0,0.0,0.0,0.0
243,243,11,100,Random,250,2491,800.0,377.5974573222696,422.4025426777304
244,244,11,100,Random,500,2469,799.0,311.030371638555,487.969628361445
245,245,11,100,Random,750,2395,800.0,285.95358133449747,514.0464186655025
246,246,11,100,Random,1000,2494,799.0,361.5568824995639,437.4431175004361
247,247,11,100,Random,1250,2368,801.8374269005848,276.02796139349437,525.8094655070904
248,248,11,100,Random,1500,2475,800.0,362.0441505595117,437.9558494404883
249,249,11,100,Random,1750,0,36.063291139240505,0.0,36.063291139240505
250,250,11,100,Random,2000,2384,799.0,252.8637459563712,546.1362540436288
251,251,11,100,Random,2250,0,56.159841365260434,0.0,56.159841365260434
252,252,11,100,Random,2500,2500,800.0,800.0,0.0
253,253,11,100,Simultaneous,0,0,0.0,0.0,0.0
254,254,11,100,Simultaneous,250,0,9.379310344827587,0.0,9.379310344827587
255,255,11,100,Simultaneous,500,0,77.69737821580591,0.0,77.69737821580591
256,256,11,100,Simultaneous,750,0,27.272727272727273,0.0,27.272727272727273
257,257,11,100,Simultaneous,1000,9,590.6815222390069,0.0,590.6815222390069
258,258,11,100,Simultaneous,1250,42,800.0,0.0,800.0
259,259,11,100,Simultaneous,1500,2140,798.0,26.52147791038704,771.478522089613
260,260,11,100,Simultaneous,1750,2076,800.0,34.73046643308916,765.2695335669108
261,261,11,100,Simultaneous,2000,2042,800.0,38.764378113078315,761.2356218869216
262,262,11,100,Simultaneous,2250,1986,800.0,164.41904526059037,635.5809547394097
263,263,11,100,Simultaneous,2500,2500,800.0,800.0,0.0
264,264,12,100,Random,0,0,0.0,0.0,0.0
265,265,12,100,Random,250,2466,800.0,285.1674523364441,514.8325476635559
266,266,12,100,Random,500,2449,800.0,410.01208376786377,389.98791623213623
267,267,12,100,Random,750,2470,800.0,288.5832729214898,511.4167270785102
268,268,12,100,Random,1000,2486,800.0,361.1550420307488,438.8449579692512
269,269,12,100,Random,1250,2430,798.0,329.39834317782277,468.60165682217723
270,270,12,100,Random,1500,2448,800.0,275.16414314779325,524.8358568522067
271,271,12,100,Random,1750,2389,797.5121516164994,190.29495573965912,607.2171958768403
272,272,12,100,Random,2000,0,59.61220477533176,0.0,59.61220477533176
273,273,12,100,Random,2250,0,46.16001005429834,0.0,46.16001005429834
274,274,12,100,Random,2500,2500,800.0,800.0,0.0
275,275,12,100,Simultaneous,0,0,0.0,0.0,0.0
276,276,12,100,Simultaneous,250,0,65.13632436025259,0.0,65.13632436025259
277,277,12,100,Simultaneous,500,2192,800.0,94.67003891529461,705.3299610847054
278,278,12,100,Simultaneous,750,30,798.0,0.0,798.0
279,279,12,100,Simultaneous,1000,30,796.0,0.0,796.0
280,280,12,100,Simultaneous,1250,0,24.210526315789476,0.0,24.210526315789476
281,281,12,100,Simultaneous,1500,2082,798.0,121.7817508526035,676.2182491473965
282,282,12,100,Simultaneous,1750,2063,799.0,5.0,794.0
283,283,12,100,Simultaneous,2000,2098,800.0,95.83559538611091,704.1644046138891
284,284,12,100,Simultaneous,2250,1922,800.0,80.57087834029538,719.4291216597046
285,285,12,100,Simultaneous,2500,2500,800.0,800.0,0.0
286,286,13,100,Random,0,0,0.0,0.0,0.0
287,287,13,100,Random,250,2494,800.0,504.43806954920325,295.56193045079675
288,288,13,100,Random,500,2435,800.0,295.2450561252202,504.7549438747798
289,289,13,100,Random,750,2447,800.0,229.15396677365788,570.8460332263421
290,290,13,100,Random,1000,0,53.83181324003241,0.0,53.83181324003241
291,291,13,100,Random,1250,2463,796.0,196.34759471587435,599.6524052841256
292,292,13,100,Random,1500,2473,797.0,402.0347626174794,394.9652373825206
293,293,13,100,Random,1750,0,52.11334704173602,0.0,52.11334704173602
294,294,13,100,Random,2000,0,52.18491850840279,0.0,52.18491850840279
295,295,13,100,Random,2250,2395,798.4430555555556,229.05508560662287,569.3879699489328
296,296,13,100,Random,2500,2500,800.0,800.0,0.0
297,297,13,100,Simultaneous,0,0,0.0,0.0,0.0
298,298,13,100,Simultaneous,250,0,11.058966565349547,0.0,11.058966565349547
299,299,13,100,Simultaneous,500,859,758.5244003837544,1.7045751633986927,756.8198252203557
300,300,13,100,Simultaneous,750,0,31.036424061149887,0.0,31.036424061149887
301,301,13,100,Simultaneous,1000,30,797.0,0.0,797.0
302,302,13,100,Simultaneous,1250,18,734.6406015037594,0.0,734.6406015037594
303,303,13,100,Simultaneous,1500,24,797.0,0.0,797.0
304,304,13,100,Simultaneous,1750,2131,800.0,78.01708301267679,721.9829169873232
305,305,13,100,Simultaneous,2000,2099,800.0,46.71276125102947,753.2872387489705
306,306,13,100,Simultaneous,2250,1965,800.0,30.293877156667808,769.7061228433322
307,307,13,100,Simultaneous,2500,2500,800.0,800.0,0.0
308,308,14,100,Random,0,0,0.0,0.0,0.0
309,309,14,100,Random,250,2466,800.0,403.6917075102227,396.3082924897773
310,310,14,100,Random,500,2462,800.0,383.0378000564941,416.9621999435059
311,311,14,100,Random,750,2461,800.0,149.98297615058522,650.0170238494147
312,312,14,100,Random,1000,2443,787.7988734459888,271.3077886908409,516.4910847551479
313,313,14,100,Random,1250,2452,797.0,234.67684904269723,562.3231509573028
314,314,14,100,Random,1500,2470,799.0,215.89714836028497,583.102851639715
315,315,14,100,Random,1750,2382,799.0,279.4614433546888,519.5385566453112
316,316,14,100,Random,2000,0,53.92746331236897,0.0,53.92746331236897
317,317,14,100,Random,2250,2474,799.8496099843994,178.78672170655696,621.0628882778425
318,318,14,100,Random,2500,2500,800.0,800.0,0.0
319,319,14,100,Simultaneous,0,0,0.0,0.0,0.0
320,320,14,100,Simultaneous,250,0,11.178947368421051,0.0,11.178947368421051
321,321,14,100,Simultaneous,500,0,132.10909090909092,0.0,132.10909090909092
322,322,14,100,Simultaneous,750,0,73.30495181123298,0.0,73.30495181123298
323,323,14,100,Simultaneous,1000,13,752.6977130496355,0.0,752.6977130496355
324,324,14,100,Simultaneous,1250,95,797.0,0.0,797.0
325,325,14,100,Simultaneous,1500,2037,800.0,3.288272187325491,796.7117278126746
326,326,14,100,Simultaneous,1750,2088,800.0,6.644345898004435,793.3556541019956
327,327,14,100,Simultaneous,2000,2019,800.0,57.91507824963258,742.0849217503675
328,328,14,100,Simultaneous,2250,1901,800.0,18.30442177690016,781.6955782230998
329,329,14,100,Simultaneous,2500,2500,800.0,800.0,0.0
330,330,15,100,Random,0,0,0.0,0.0,0.0
331,331,15,100,Random,250,2500,800.0,642.2268909524755,157.77310904752449
332,332,15,100,Random,500,2482,800.0,379.55563814667056,420.44436185332944
333,333,15,100,Random,750,2433,799.0,324.93553799650374,474.06446200349626
334,334,15,100,Random,1000,2487,799.0,425.28864643676417,373.71135356323583
335,335,15,100,Random,1250,2456,800.0,338.88758610515816,461.11241389484184
336,336,15,100,Random,1500,2495,800.5619909502262,485.78802154033565,314.7739694098906
337,337,15,100,Random,1750,0,48.02000282817061,0.0,48.02000282817061
338,338,15,100,Random,2000,2476,801.5971631205673,273.91858139646274,527.6785817241046
339,339,15,100,Random,2250,0,50.48836042931767,0.0,50.48836042931767
